singular,plural,past
goggles,goggle,goggled
golfs,golf,golfed
goofs,goof,goofed
gooses,goose,goosed
gores,gore,gored
gorges,gorge,gorged
gossips,gossip,gossiped
gouges,gouge,gouged
governs,govern,governed
gowns,gown,gowned
grabs,grab,grabbed
graces,grace,graced
grades,grade,graded
graduates,graduate,graduated
grafts,graft,grafted
grains,grain,grained
grandfathers,grandfather,grandfathered
grandparents,grandparent,grandparented
grants,grant,granted
granulates,granulate,granulated
graphs,graph,graphed
grapples,grapple,grappled
grasps,grasp,grasped
grasses,grass,grassed
grates,grate,grated
gratifies,gratify,gratified
gravels,gravel,graveled
gravitates,gravitate,gravitated
grays,gray,grayed
grazes,graze,grazed
greases,grease,greased
greens,green,greened
greets,greet,greeted
greys,grey,greyed
grieves,grieve,grieved
grills,grill,grilled
grimaces,grimace,grimaced
grimes,grime,grimed
grinds,grind,ground
grins,grin,grinned
gripes,gripe,griped
grips,grip,gripped
grits,grit,gritted
groans,groan,groaned
grommets,grommet,grommeted
grooms,groom,groomed
grooves,groove,grooved
gropes,grope,groped
grosses,gross,grossed
grouches,grouch,grouched
grounds,ground,grounded
groups,group,grouped
grouses,grouse,groused
grovels,grovel,grovelled
growls,growl,growled
grows,grow,grew
grubs,grub,grubbed
grudges,grudge,grudged
grumbles,grumble,grumbled
grunts,grunt,grunted
guarantees,guarantee,guaranteed
guards,guard,guarded
guesses,guess,guessed
guests,guest,guested
guffaws,guffaw,guffawed
guides,guide,guided
guillotines,guillotine,guillotined
guises,guise,guised
gulls,gull,gulled
gulps,gulp,gulped
gums,gum,gummed
guns,gun,gunned
gurgles,gurgle,gurgled
gushes,gush,gushed
gussets,gusset,gusseted
gusts,gust,gusted
guts,gut,gutted
gutters,gutter,guttered
guys,guy,guyed
guzzles,guzzle,guzzled
gyps,gyp,gypped
gyrates,gyrate,gyrated
habituates,habituate,habituated
hackles,hackle,hackled
hacks,hack,hacked
haemorrhages,haemorrhage,haemorrhaged
hafts,haft,hafted
haggles,haggle,haggled
hails,hail,hailed
hallmarks,hallmark,hallmarked
hallows,hallow,hallowed
hallucinates,hallucinate,hallucinated
halos,halo,haloed
halters,halter,haltered
halts,halt,halted
halves,halve,halved
hammers,hammer,hammered
hammocks,hammock,hammocked
hampers,hamper,hampered
hams,ham,hammed
hamstrings,hamstring,hamstrung
handcrafts,handcraft,handcrafted
handcuffs,handcuff,handcuffed
handicaps,handicap,handicapped
handles,handle,handled
hands,hand,handed
hangs,hang,hung
hankers,hanker,hankered
happens,happen,happened
harangues,harangue,harangued
harasses,harass,harassed
harbingers,harbinger,harbingered
harbors,harbor,harbored
harbours,harbour,harboured
hardens,harden,hardened
hares,hare,hared
harks,hark,harked
harmonizes,harmonize,harmonized
harms,harm,harmed
harnesses,harness,harnessed
harpoons,harpoon,harpooned
harps,harp,harped
harries,harry,harried
harrows,harrow,harrowed
harvests,harvest,harvested
has,have,had
hashes,hash,hashed
hasps,hasp,hasped
hassles,hassle,hassled
hastens,hasten,hastened
hatches,hatch,hatched
hates,hate,hated
hauls,haul,hauled
haunts,haunt,haunted
hawks,hawk,hawked
haws,haw,hawed
hays,hay,hayed
hazards,hazard,hazarded
hazes,haze,hazed
headlines,headline,headlined
headquarters,headquarter,headquartered
heads,head,headed
heals,heal,healed
heaps,heap,heaped
hearkens,hearken,hearkened
hears,hear,heard
heartens,hearten,heartened
heats,heat,heated
heaves,heave,heaved
heckles,heckle,heckled
hectors,hector,hectored
hedges,hedge,hedged
heeds,heed,heeded
heels,heel,heeled
hefts,heft,hefted
heightens,heighten,heightened
helicopters,helicopter,helicoptered
helms,helm,helmed
helps,help,helped
hemorrhages,hemorrhage,hemorrhaged
hems,hem,hemmed
heralds,herald,heralded
herds,herd,herded
hesitates,hesitate,hesitated
hews,hew,hewed
hexes,hex,hexed
hibernates,hibernate,hibernated
hiccups,hiccup,hiccupped
hides,hide,hid
hies,hie,hied
highballs,highball,highballed
highjacks,highjack,highjacked
highlights,highlight,highlighted
hijacks,hijack,hijacked
hikes,hike,hiked
hinders,hinder,hindered
hinges,hinge,hinged
hints,hint,hinted
hires,hire,hired
hisses,hiss,hissed
hitches,hitch,hitched
hitchhikes,hitchhike,hitchhiked
hits,hit,hit
hives,hive,hived
hoards,hoard,hoarded
hoaxes,hoax,hoaxed
hobbles,hobble,hobbled
hobos,hobo,hoboed
hocks,hock,hocked
hoes,hoe,hoed
hogs,hog,hogged
hoists,hoist,hoisted
holds,hold,held
holes,hole,holed
holidays,holiday,holidayed
hollers,holler,hollered
hollows,hollow,hollowed
holographs,holograph,holographed
holsters,holster,holstered
homes,home,homed
homogenizes,homogenize,homogenized
hones,hone,honed
honeycombs,honeycomb,honeycombed
honeymoons,honeymoon,honeymooned
honks,honk,honked
honors,honor,honored
hoodwinks,hoodwink,hoodwinked
hooks,hook,hooked
hoops,hoop,hooped
hoots,hoot,hooted
hopes,hope,hoped
hops,hop,hopped
hopscotches,hopscotch,hopscotched
horns,horn,horned
horrifies,horrify,horrified
horses,horse,horsed
hoses,hose,hosed
hospitalizes,hospitalize,hospitalized
hosts,host,hosted
hots,hot,hotted
hounds,hound,hounded
housebreaks,housebreak,housebreaked
houses,house,housed
hovers,hover,hovered
howls,howl,howled
hucksters,huckster,huckstered
huddles,huddle,huddled
huffs,huff,huffed
hugs,hug,hugged
hulls,hull,hulled
humanizes,humanize,humanized
humbles,humble,humbled
humidifies,humidify,humidified
humiliates,humiliate,humiliated
humors,humor,humored
humours,humour,humoured
humps,hump,humped
hums,hum,hummed
hunches,hunch,hunched
hungers,hunger,hungered
hunkers,hunker,hunkered
hunts,hunt,hunted
hurdles,hurdle,hurdled
hurls,hurl,hurled
hurries,hurry,hurried
hurtles,hurtle,hurtled
hurts,hurt,hurt
husbands,husband,husbanded
hushes,hush,hushed
husks,husk,husked
hustles,hustle,hustled
hybridizes,hybridize,hybridized
hydrates,hydrate,hydrated
hydrogenates,hydrogenate,hydrogenated
hydroplanes,hydroplane,hydroplaned
hymns,hymn,hymned
hyperventilates,hyperventilate,hyperventilated
hyphenates,hyphenate,hyphenated
hypnotizes,hypnotize,hypnotized
hypothesizes,hypothesize,hypothesized
ices,ice,iced
idealizes,idealize,idealized
identifies,identify,identified
idles,idle,idled
idolizes,idolize,idolized
ignites,ignite,ignited
ignores,ignore,ignored
illuminates,illuminate,illuminated
illumines,illumine,illumined
illustrates,illustrate,illustrated
images,image,imaged
imagines,imagine,imagined
imbeds,imbed,imbedded
imbibes,imbibe,imbibed
imbues,imbue,imbued
imitates,imitate,imitated
immerses,immerse,immersed
immigrates,immigrate,immigrated
immobilizes,immobilize,immobilized
immolates,immolate,immolated
immortalizes,immortalize,immortalized
immunizes,immunize,immunized
immures,immure,immured
impacts,impact,impacted
impairs,impair,impaired
impales,impale,impaled
imparts,impart,imparted
impeaches,impeach,impeached
impedes,impede,impeded
impels,impel,impelled
impends,impend,impended
imperils,imperil,imperiled
impersonates,impersonate,impersonated
impinges,impinge,impinged
implants,implant,implanted
implements,implement,implemented
implicates,implicate,implicated
implies,imply,implied
implodes,implode,imploded
implores,implore,implored
imports,import,imported
importunes,importune,importuned
imposes,impose,imposed
impostures,imposture,impostured
impounds,impound,impounded
impoverishes,impoverish,impoverished
impregnates,impregnate,impregnated
impresses,impress,impressed
imprints,imprint,imprinted
imprisons,imprison,imprisoned
improves,improve,improved
improvises,improvise,improvised
impugns,impugn,impugned
impulses,impulse,impulsed
imputes,impute,imputed
inaugurates,inaugurate,inaugurated
inbreeds,inbreed,inbred
incapacitates,incapacitate,incapacitated
incarcerates,incarcerate,incarcerated
incarnates,incarnate,incarnated
incases,incase,incased
incenses,incense,incensed
inches,inch,inched
incinerates,incinerate,incinerated
incises,incise,incised
incites,incite,incited
inclines,incline,inclined
incloses,inclose,inclosed
includes,include,included
inconveniences,inconvenience,inconvenienced
incorporates,incorporate,incorporated
increases,increase,increased
increments,increment,incremented
incriminates,incriminate,incriminated
incrusts,incrust,incrusted
incubates,incubate,incubated
inculcates,inculcate,inculcated
inculpates,inculpate,inculpated
incurs,incur,incurred
indemnifies,indemnify,indemnified
indents,indent,indented
indentures,indenture,indentured
indexes,index,indexed
indicates,indicate,indicated
indicts,indict,indicted
individualizes,individualize,individualized
indoctrinates,indoctrinate,indoctrinated
indorses,indorse,indorsed
induces,induce,induced
inducts,induct,inducted
indues,indue,indued
indulges,indulge,indulged
industrializes,industrialize,industrialized
inebriates,inebriate,inebriated
infatuates,infatuate,infatuated
infects,infect,infected
infers,infer,inferred
infests,infest,infested
infiltrates,infiltrate,infiltrated
infirms,infirm,infirmed
infixes,infix,infixed
inflates,inflate,inflated
inflects,inflect,inflected
inflicts,inflict,inflicted
influences,influence,influenced
influxes,influx,influxed
informs,inform,informed
infringes,infringe,infringed
infuriates,infuriate,infuriated
infuses,infuse,infused
ingests,ingest,ingested
ingratiates,ingratiate,ingratiated
ingresses,ingress,ingressed
inhabits,inhabit,inhabited
inhales,inhale,inhaled
inheres,inhere,inhered
inherits,inherit,inherited
inhibits,inhibit,inhibited
initializes,initialize,initialized
initials,initial,initialed
initiates,initiate,initiated
injects,inject,injected
injures,injure,injured
inks,ink,inked
inlays,inlay,inlaid
innovates,innovate,innovated
inns,inn,inned
inoculates,inoculate,inoculated
inputs,input,input
inquires,inquire,inquired
inscribes,inscribe,inscribed
inseminates,inseminate,inseminated
inserts,insert,inserted
insets,inset,inset
insinuates,insinuate,insinuated
insists,insist,insisted
inspects,inspect,inspected
inspires,inspire,inspired
installs,install,installed
instances,instance,instanced
instigates,instigate,instigated
instils,instill,instilled
institutes,institute,instituted
institutionalizes,institutionalize,institutionalized
instructs,instruct,instructed
instruments,instrument,instrumented
insulates,insulate,insulated
insults,insult,insulted
insures,insure,insured
integrates,integrate,integrated
intellectualizes,intellectualize,intellectualized
intends,intend,intended
intensifies,intensify,intensified
interacts,interact,interacted
interbreeds,interbreed,interbred
intercedes,intercede,interceded
intercepts,intercept,intercepted
interchanges,interchange,interchanged
interconnects,interconnect,interconnected
interdicts,interdict,interdicted
interests,interest,interested
interfaces,interface,interfaced
interferes,interfere,interfered
interjects,interject,interjected
interlaces,interlace,interlaced
interlards,interlard,interlarded
interleaves,interleave,interleaved
interlinks,interlink,interlinked
interlocks,interlock,interlocked
intermarries,intermarry,intermarried
intermediates,intermediate,intermediated
intermingles,intermingle,intermingled
internalizes,internalize,internalized
internationalizes,internationalize,internationalized
interns,intern,interned
interpolates,interpolate,interpolated
interposes,interpose,interposed
interpositions,interposition,interpositioned
interprets,interpret,interpreted
interrelates,interrelate,interrelated
interrogates,interrogate,interrogated
interrupts,interrupt,interrupted
inters,inter,interred
intersects,intersect,intersected
intersperses,intersperse,interspersed
intertwines,intertwine,intertwined
intervenes,intervene,intervened
interviews,interview,interviewed
interweaves,interweave,interweaved
intimates,intimate,intimated
intimidates,intimidate,intimidated
intones,intone,intoned
intoxicates,intoxicate,intoxicated
intrenches,intrench,intrenched
intricates,intricate,intricated
intrigues,intrigue,intrigued
introduces,introduce,introduced
introverts,introvert,introverted
intrudes,intrude,intruded
intrusts,intrust,intrusted
intuits,intuit,intuited
inundates,inundate,inundated
inures,inure,inured
invades,invade,invaded
invalidates,invalidate,invalidated
invalids,invalid,invalided
inveighs,inveigh,inveighed
inveigles,inveigle,inveigled
inventories,inventory,inventoried
invents,invent,invented
inverses,inverse,inversed
inverts,invert,inverted
investigates,investigate,investigated
invests,invest,invested
invigorates,invigorate,invigorated
invites,invite,invited
invoices,invoice,invoiced
invokes,invoke,invoked
involves,involve,involved
iodizes,iodize,iodized
ionizes,ionize,ionized
irks,irk,irked
irons,iron,ironed
irradiates,irradiate,irradiated
irrigates,irrigate,irrigated
irritates,irritate,irritated
isolates,isolate,isolated
issues,issue,issued
italicizes,italicize,italicized
itches,itch,itched
itemizes,itemize,itemized
iterates,iterate,iterated
jabbers,jabber,jabbered
jabs,jab,jabbed
jackets,jacket,jacketed
jackknifes,jackknife,jackknifed
jacks,jack,jacked
jades,jade,jaded
jags,jag,jagged
jails,jail,jailed
jams,jam,jammed
jangles,jangle,jangled
janitors,janitor,janitored
jars,jar,jarred
jaunts,jaunt,jaunted
jaws,jaw,jawed
jaywalks,jaywalk,jaywalked
jazzes,jazz,jazzed
jeers,jeer,jeered
jeopardizes,jeopardize,jeopardized
jerks,jerk,jerked
jests,jest,jested
jets,jet,jetted
jettisons,jettison,jettisoned
jibes,jibe,jibed
jibs,jib,jibbed
jiggers,jigger,jiggered
jiggles,jiggle,jiggled
jigs,jig,jigged
jilts,jilt,jilted
jimmies,jimmy,jimmied
jingles,jingle,jingled
jinxes,jinx,jinxed
jobs,job,jobbed
jockeys,jockey,jockeyed
jogs,jog,jogged
joins,join,joined
joints,joint,jointed
jokes,joke,joked
jolts,jolt,jolted
jostles,jostle,jostled
jots,jot,jotted
journals,journal,journaled
journeys,journey,journeyed
jousts,joust,jousted
judges,judge,judged
juggles,juggle,juggled
jugs,jug,jugged
juices,juice,juiced
jumbles,jumble,jumbled
jumps,jump,jumped
junctions,junction,junctioned
junks,junk,junked
justifies,justify,justified
juts,jut,jutted
juxtaposes,juxtapose,juxtaposed
juxtapositions,juxtaposition,juxtapositioned
kaleidoscopes,kaleidoscope,kaleidoscoped
kayaks,kayak,kayaked
keels,keel,keeled
keens,keen,keened
keeps,keep,kept
kennels,kennel,kennelled
kens,ken,kenned
kernels,kernel,kerneled
keyboards,keyboard,keyboarded
keys,key,keyed
kibitzes,kibitz,kibitzed
kicks,kick,kicked
kidnaps,kidnap,kidnapped
kids,kid,kidded
kills,kill,killed
kilns,kiln,kilned
kindles,kindle,kindled
kings,king,kinged
kinks,kink,kinked
kisses,kiss,kissed
kites,kite,kited
kittens,kitten,kittened
knaps,knap,knapped
kneads,knead,kneaded
kneels,kneel,knelt
knees,knee,kneed
knifes,knife,knifed
knights,knight,knighted
knits,knit,knit
knobs,knob,knobbed
knocks,knock,knocked
knots,knot,knotted
knows,know,knew
knuckles,knuckle,knuckled
kowtows,kowtow,kowtowed
labels,label,labeled
labors,labor,labored
labours,labour,laboured
lacerates,lacerate,lacerated
laces,lace,laced
lacks,lack,lacked
lacquers,lacquer,lacquered
lactates,lactate,lactated
ladders,ladder,laddered
lades,lade,laded
ladles,ladle,ladled
lagers,lager,lagered
lagoons,lagoon,lagooned
lags,lag,lagged
lakes,lake,laked
lambastes,lambaste,lambasted
lambs,lamb,lambed
laments,lament,lamented
lames,lame,lamed
laminates,laminate,laminated
lampoons,lampoon,lampooned
lams,lam,lammed
lances,lance,lanced
landmarks,landmark,landmarked
lands,land,landed
landscapes,landscape,landscaped
landslides,landslide,landslid
languages,language,languaged
languishes,languish,languished
laps,lap,lapped
lapses,lapse,lapsed
lards,lard,larded
lariats,lariat,lariated
larks,lark,larked
lasers,laser,lasered
lashes,lash,lashed
lassoes,lasso,lassoed
lasts,last,lasted
latches,latch,latched
lathers,lather,lathered
lathes,lathe,lathed
lattices,lattice,latticed
lauds,laud,lauded
laughs,laugh,laughed
launches,launch,launched
launders,launder,laundered
lavishes,lavish,lavished
laxes,lax,laxed
layers,layer,layered
lays,lay,laid
leaches,leach,leached
leads,lead,led
leaflets,leaflet,leafleted
leafs,leaf,leafed
leagues,league,leagued
leaks,leak,leaked
leans,lean,leaned
leapfrogs,leapfrog,leapfrogged
leaps,leap,leapt
learns,learn,learned
leases,lease,leased
leashes,leash,leashed
leathers,leather,leathered
leavens,leaven,leavened
leaves,leave,left
lectures,lecture,lectured
ledges,ledge,ledged
leeches,leech,leeched
leers,leer,leered
legalizes,legalize,legalized
legates,legate,legated
legislates,legislate,legislated
legitimates,legitimate,legitimated
legitimizes,legitimize,legitimized
lends,lend,lent
lengthens,lengthen,lengthened
lenses,lens,lensed
lesions,lesion,lesioned
lessens,lessen,lessened
lets,let,let
letters,letter,lettered
levels,level,leveled
leverages,leverage,leveraged
levers,lever,levered
levies,levy,levied
levitates,levitate,levitated
libels,libel,libelled
liberalizes,liberalize,liberalized
liberates,liberate,liberated
licenses,license,licensed
licks,lick,licked
lids,lid,lidded
lies,lie,lay
lifts,lift,lifted
ligatures,ligature,ligatured
lightens,lighten,lightened
lightnings,lightning,lightninged
lights,light,lit
likens,liken,likened
likes,like,liked
lilts,lilt,lilted
limbers,limber,limbered
limbs,limb,limbed
limes,lime,limed
limits,limit,limited
limns,limn,limned
limps,limp,limped
lines,line,lined
lingers,linger,lingered
links,link,linked
lints,lint,linted
lionizes,lionize,lionized
lips,lip,lipped
liquefies,liquefy,liquefied
liquidates,liquidate,liquidated
liquidizes,liquidize,liquidized
lisps,lisp,lisped
listens,listen,listened
lists,list,listed
lithographs,lithograph,lithographed
litigates,litigate,litigated
litters,litter,littered
livens,liven,livened
lives,live,lived
loads,load,loaded
loafs,loaf,loafed
loans,loan,loaned
loathes,loathe,loathed
lobbies,lobby,lobbied
lobs,lob,lobbed
localizes,localize,localized
locates,locate,located
locks,lock,locked
lodges,lodge,lodged
lofts,loft,lofted
logs,log,logged
logs-in,login,logged-in
loiters,loiter,loitered
lolls,loll,lolled
longs,long,longed
looks,look,looked
looms,loom,loomed
loops,loop,looped
loosens,loosen,loosened
looses,loose,loosed
loots,loot,looted
lopes,lope,loped
lops,lop,lopped
lords,lord,lorded
loses,lose,lost
lounges,lounge,lounged
louts,lout,louted
loves,love,loved
lowers,lower,lowered
lows,low,lowed
lubricates,lubricate,lubricated
lucks,luck,lucked
lugs,lug,lugged
lulls,lull,lulled
lumbers,lumber,lumbered
lumps,lump,lumped
lunches,lunch,lunched
lunges,lunge,lunged
lurches,lurch,lurched
lures,lure,lured
lurks,lurk,lurked
lusts,lust,lusted
lutes,lute,luted
luxuriates,luxuriate,luxuriated
lynches,lynch,lynched
macerates,macerate,macerated
machines,machine,machined
maddens,madden,maddened
magnetizes,magnetize,magnetized
magnifies,magnify,magnified
mails,mail,mailed
maims,maim,maimed
maintains,maintain,maintained
majors,major,majored
makes,make,made
malfunctions,malfunction,malfunctioned
maligns,malign,maligned
malingers,malinger,malingered
mallets,mallet,malleted
maltreats,maltreat,maltreated
malts,malt,malted
manacles,manacle,manacled
manages,manage,managed
mandates,mandate,mandated
maneuvers,maneuver,maneuvered
mangles,mangle,mangled
manhandles,manhandle,manhandled
manicures,manicure,manicured
manifests,manifest,manifested
manipulates,manipulate,manipulated
mans,man,manned
mantles,mantle,mantled
manufactures,manufacture,manufactured
manumits,manumit,manumitted
manures,manure,manured
maps,map,mapped
marathons,marathon,marathonned
marauds,maraud,marauded
marbles,marble,marbled
marches,march,marched
marinades,marinade,marinaded
marinates,marinate,marinated
markets,market,marketed
marks,mark,marked
maroons,maroon,marooned
marries,marry,married
mars,mar,marred
marshals,marshal,marshalled
martyrs,martyr,martyred
marvels,marvel,marvelled
mashes,mash,mashed
masks,mask,masked
masquerades,masquerade,masqueraded
masques,masque,masqued
massacres,massacre,massacred
massages,massage,massaged
masses,mass,massed
masterminds,mastermind,masterminded
masters,master,mastered
masticates,masticate,masticated
masts,mast,masted
masturbates,masturbate,masturbated
matches,match,matched
materializes,materialize,materialized
mates,mate,mated
matriculates,matriculate,matriculated
mats,mat,matted
matters,matter,mattered
mattresses,mattress,mattressed
matures,mature,matured
mauls,maul,mauled
maximizes,maximize,maximized
mazes,maze,mazed
meals,meal,mealed
meanders,meander,meandered
means,mean,meant
measures,measure,measured
mechanizes,mechanize,mechanized
meddles,meddle,meddled
mediates,mediate,mediated
medicates,medicate,medicated
meditates,meditate,meditated
meets,meet,met
melds,meld,melded
mellows,mellow,mellowed
melts,melt,melted
memorializes,memorialize,memorialized
memorizes,memorize,memorized
memos,memo,memoed
menaces,menace,menaced
mends,mend,mended
menstruates,menstruate,menstruated
mentions,mention,mentioned
mentors,mentor,mentored
mercerizes,mercerize,mercerized
merchandises,merchandise,merchandised
merges,merge,merged
merits,merit,merited
meshes,mesh,meshed
mesmerizes,mesmerize,mesmerized
messages,message,messaged
messes,mess,messed
metabolizes,metabolize,metabolized
metals,metal,metaled
metamorphoses,metamorphose,metamorphosed
metastasizes,metastasize,metastasized
meters,meter,metered
metes,mete,meted
mews,mew,mewed
microscopes,microscope,microscoped
microwaves,microwave,microwaved
middles,middle,middled
midwives,midwife,midwifed
migrates,migrate,migrated
mikes,mike,miked
mildews,mildew,mildewed
militarizes,militarize,militarized
militates,militate,militated
milks,milk,milked
mills,mill,milled
mimeographs,mimeograph,mimeographed
mimes,mime,mimed
mimics,mimic,mimiced
minces,mince,minced
minds,mind,minded
mines,mine,mined
mingles,mingle,mingled
minimizes,minimize,minimized
ministers,minister,ministered
minors,minor,minored
mints,mint,minted
minutes,minute,minuted
mires,mire,mired
mirrors,mirror,mirrored
misapplies,misapply,misapplied
misapprehends,misapprehend,misapprehended
misappropriates,misappropriate,misappropriated
misbehaves,misbehave,misbehaved
miscalculates,miscalculate,miscalculated
miscalls,miscall,miscalled
miscarries,miscarry,miscarried
miscasts,miscast,miscast
misconceives,misconceive,misconceived
misconducts,misconduct,misconducted
misconstrues,misconstrue,misconstrued
miscounts,miscount,miscounted
miscues,miscue,miscued
misdeals,misdeal,misdealt
misdirects,misdirect,misdirected
misfires,misfire,misfired
misfits,misfit,misfitted
misgoverns,misgovern,misgoverned
misguides,misguide,misguided
mishandles,mishandle,mishandled
misidentifies,misidentify,misidentified
misinforms,misinform,misinformed
misinterprets,misinterpret,misinterpreted
misjudges,misjudge,misjudged
mislays,mislay,mislaid
misleads,mislead,misled
mismanages,mismanage,mismanaged
mismatches,mismatch,mismatched
misplaces,misplace,misplaced
misprints,misprint,misprinted
mispronounces,mispronounce,mispronounced
misquotes,misquote,misquoted
misreads,misread,misread
misrepresents,misrepresent,misrepresented
misrules,misrule,misruled
misses,miss,missed
misspells,misspell,misspelled
misspends,misspend,misspent
misstates,misstate,misstated
mistakes,mistake,mistook
mistimes,mistime,mistimed
mistreats,mistreat,mistreated
mistrusts,mistrust,mistrusted
mists,mist,misted
misunderstands,misunderstand,misunderstood
misuses,misuse,misused
miters,miter,mitered
mitigates,mitigate,mitigated
mitres,mitre,mitred
mixes,mix,mixed
moans,moan,moaned
mobilizes,mobilize,mobilized
mobs,mob,mobbed
mocks,mock,mocked
models,model,modeled
moderates,moderate,moderated
modernizes,modernize,modernized
modifies,modify,modified
modulates,modulate,modulated
moires,moire,moired
moistens,moisten,moistened
molders,molder,moldered
molds,mold,molded
molests,molest,molested
mollifies,mollify,mollified
mollycoddles,mollycoddle,mollycoddled
molts,molt,molted
monetizes,monetize,monetized
monitors,monitor,monitored
monkeys,monkey,monkeyed
monographs,monograph,monographed
monopolizes,monopolize,monopolized
montages,montage,montaged
moonlights,moonlight,moonlighted
moons,moon,mooned
moors,moor,moored
moos,moo,mooed
moots,moot,mooted
mopes,mope,moped
mops,mop,mopped
moralizes,moralize,moralized
mordants,mordant,mordanted
mortars,mortar,mortared
mortgages,mortgage,mortgaged
mortifies,mortify,mortified
mortises,mortise,mortised
mothers,mother,mothered
motions,motion,motioned
motivates,motivate,motivated
motorcycles,motorcycle,motorcycled
motorizes,motorize,motorized
motors,motor,motored
mottles,mottle,mottled
moulds,mould,moulded
mounts,mount,mounted
mourns,mourn,mourned
mouths,mouth,mouthed
moves,move,moved
mows,mow,mowed
muckrakes,muckrake,muckraked
mucks,muck,mucked
muddies,muddy,muddied
muddles,muddle,muddled
muffles,muffle,muffled
muffs,muff,muffed
mugs,mug,mugged
mulches,mulch,mulched
mulls,mull,mulled
multiplies,multiply,multiplied
mumbles,mumble,mumbled
mummies,mummy,mummied
mummifies,mummify,mummified
munches,munch,munched
murders,murder,murdered
murmurs,murmur,murmured
muscles,muscle,muscled
muses,muse,mused
mushrooms,mushroom,mushroomed
musses,muss,mussed
musters,muster,mustered
mutates,mutate,mutated
mutes,mute,muted
mutilates,mutilate,mutilated
mutinies,mutiny,mutinied
mutters,mutter,muttered
muzzles,muzzle,muzzled
mystifies,mystify,mystified
nabs,nab,nabbed
nadirs,nadir,nadired
nags,nag,nagged
nails,nail,nailed
names,name,named
naps,nap,napped
narks,nark,narked
narrates,narrate,narrated
narrows,narrow,narrowed
nasalizes,nasalize,nasalized
nationalizes,nationalize,nationalized
naturalizes,naturalize,naturalized
nauseates,nauseate,nauseated
navigates,navigate,navigated
nears,near,neared
necessitates,necessitate,necessitated
necks,neck,necked
needles,needle,needled
needs,need,needed
negates,negate,negated
negatives,negative,negatived
neglects,neglect,neglected
negotiates,negotiate,negotiated
neighbors,neighbor,neighbored
neighs,neigh,neighed
nerves,nerve,nerved
nestles,nestle,nestled
nests,nest,nested
nets,net,netted
nettles,nettle,nettled
networks,network,networked
neuters,neuter,neutered
neutralizes,neutralize,neutralized
nibbles,nibble,nibbled
nibs,nib,nibbed
niches,niche,niched
nickels,nickel,nickeled
nicknames,nickname,nicknamed
nicks,nick,nicked
niggles,niggle,niggled
nipples,nipple,nippled
nips,nip,nipped
nitrates,nitrate,nitrated
nixes,nix,nixed
nods,nod,nodded
noises,noise,noised
nominates,nominate,nominated
nonpluses,nonplus,nonplussed
nooses,noose,noosed
normalizes,normalize,normalized
norms,norm,normed
noses,nose,nosed
notarizes,notarize,notarized
notches,notch,notched
notes,note,noted
notices,notice,noticed
notifies,notify,notified
nourishes,nourish,nourished
nuances,nuance,nuanced
nubs,nub,nubbed
nudges,nudge,nudged
nullifies,nullify,nullified
nulls,null,nulled
numbers,number,numbered
numbs,numb,numbed
numerates,numerate,numerated
nurses,nurse,nursed
nurtures,nurture,nurtured
nuts,nut,nutted
nuzzles,nuzzle,nuzzled
obdurates,obdurate,obdurated
obelisks,obelisk,obelisked
obeys,obey,obeyed
obfuscates,obfuscate,obfuscated
objects,object,objected
oblates,oblate,oblated
obligates,obligate,obligated
obliges,oblige,obliged
obliterates,obliterate,obliterated
obscures,obscure,obscured
observes,observe,observed
obsesses,obsess,obsessed
obstructs,obstruct,obstructed
obtains,obtain,obtained
obtrudes,obtrude,obtruded
obviates,obviate,obviated
occasions,occasion,occasioned
occludes,occlude,occluded
occults,occult,occulted
occupies,occupy,occupied
occurs,occur,occurred
offends,offend,offended
offers,offer,offered
officiates,officiate,officiated
offsets,offset,offset
ogles,ogle,ogled
oils,oil,oiled
omits,omit,omitted
oozes,ooze,oozed
opaques,opaque,opaqued
opens,open,opened
operates,operate,operated
opines,opine,opined
opposes,oppose,opposed
oppresses,oppress,oppressed
optimizes,optimize,optimized
options,option,optioned
opts,opt,opted
orates,orate,orated
orbits,orbit,orbited
orchestrates,orchestrate,orchestrated
ordains,ordain,ordained
orders,order,ordered
organizes,organize,organized
orientates,orientate,orientated
orients,orient,oriented
originates,originate,originated
ornaments,ornament,ornamented
orphans,orphan,orphaned
oscillates,oscillate,oscillated
ossifies,ossify,ossified
ostracizes,ostracize,ostracized
ousts,oust,ousted
outbalances,outbalance,outbalanced
outbids,outbid,outbid
outbreaks,outbreak,outbroke
outclasses,outclass,outclassed
outcrops,outcrop,outcroped
outdistances,outdistance,outdistanced
outdoes,outdo,outdid
outfits,outfit,outfitted
outflanks,outflank,outflanked
outgoes,outgo,outwent
outgrows,outgrow,outgrew
outlasts,outlast,outlasted
outlaws,outlaw,outlawed
outlays,outlay,outlaid
outlines,outline,outlined
outlives,outlive,outlived
outmaneuvers,outmaneuver,outmaneuvered
outnumbers,outnumber,outnumbered
outperforms,outperform,outperformed
outplays,outplay,outplayed
outputs,output,output
outrages,outrage,outraged
outranks,outrank,outranked
outreaches,outreach,outreached
outruns,outrun,outran
outshines,outshine,outshone
outsmarts,outsmart,outsmarted
outspreads,outspread,outspreaded
outstays,outstay,outstayed
outstretches,outstretch,outstretched
outstrips,outstrip,outstripped
outvotes,outvote,outvoted
outwears,outwear,outwore
outweighs,outweigh,outweighed
outwits,outwit,outwitted
